,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
976,White,Honda,APE,2002,Moped,17/01/2022,Auckland City
977,Black,Suzuki,DR200,2017,Roadbike,28/02/2022,Bay of Plenty
978,Blue,BMW,G310,2017,Roadbike,30/03/2022,Auckland City
979,Grey,Suzuki,LETS,2007,Moped,6/02/2022,Wellington
980,White,TGB,TAPO,2017,Moped,4/04/2022,Auckland City
981,Black,Suzuki,GN125H,2018,Roadbike,29/01/2022,Canterbury
982,Black,Honda,GLC,2018,Roadbike,4/03/2022,Counties/Manukau
983,Orange,KTM,SUPERDUKE,2006,Roadbike,24/03/2022,Auckland City
984,Black,TNT Motor,OTTO,2019,Moped,28/03/2022,Auckland City
985,Green,Kawasaki,EX,2019,Roadbike,30/03/2022,Counties/Manukau
986,Silver,Husqvarna,401,2019,Roadbike,10/02/2022,Wellington
987,Black,Triumph,SPEEDMASTER,2010,Roadbike,17/11/2021,Auckland City
988,White,Kawasaki,ER,2014,Roadbike,20/03/2022,Waitemata
989,Black,Harley Davidson,STREET,2019,Roadbike,17/03/2022,Auckland City
990,Black,Forza,CICLONE,2019,Moped,8/02/2022,Auckland City
991,Red,Factory Built,ARIIC,2020,Moped,16/11/2021,Canterbury
992,Black,Suzuki,GW250,2013,Roadbike,29/10/2021,Waitemata
993,Black,Aprilia,TUONO,2015,Roadbike,5/02/2022,Wellington
994,Black,Factory Built,MOTUS,2015,Moped,27/01/2022,Canterbury
995,Black,TNT Motor,ROMA,2016,Moped,23/02/2022,Auckland City
996,Red,Yamaha,YZF,2016,Roadbike,22/10/2021,Waitemata
997,White,KTM,200,2016,Roadbike,2/11/2021,Canterbury
998,Black,Harley Davidson,FXD,2007,Roadbike,16/11/2021,Counties/Manukau
999,Black,Hyosung,GT,2008,Roadbike,24/02/2022,Central
1000,Black,Honda,DJ-1,1989,Moped,4/01/2022,Bay of Plenty
1001,Blue,Yamaha,MT-07,2017,Roadbike,13/03/2022,Auckland City
1002,Blue,Suzuki,GSX150,2018,Roadbike,24/12/2021,Canterbury
1003,Black,TNT Motor,ROMA,2018,Moped,23/11/2021,Auckland City
1004,Black,Suzuki,GSX150,2018,Roadbike,27/02/2022,Auckland City
1005,Red,Moped,YIBEN,2018,Moped,3/12/2021,Auckland City
1006,Red,Piaggio,ZIP,2013,Moped,7/12/2021,Waitemata
1007,Black,TNT Motor,ROMA,2019,Moped,13/03/2022,Waitemata
1008,Black,Suzuki,GSX150,2019,Roadbike,18/11/2021,Auckland City
1009,Black,TNT Motor,OTTO,2019,Moped,24/03/2022,Auckland City
1010,Black,Suzuki,GSX150,2019,Roadbike,9/03/2022,Auckland City
1011,Silver,Briford,8X4 TANDEM,2003,Trailer,31/03/2022,Canterbury
1012,Red,Forza,CICLONE,2015,Moped,29/10/2021,Auckland City
1013,White,TNT Motor,ROMA,2015,Moped,19/02/2022,Auckland City
1014,Black,Honda,FC50 BEAT,1983,Moped,4/01/2022,Canterbury
1015,Red,Piaggio,ZIP,2016,Moped,3/04/2022,Auckland City
1016,Black,TNT Motor,ROMA,2016,Moped,29/10/2021,Auckland City
1017,Black,Suzuki,UZ50,2016,Moped,17/12/2021,Bay of Plenty
1018,Black,Moped,ZNEN,2017,Moped,17/01/2022,Waitemata
1019,Black,Znen,ZN50QT-50C,2017,Moped,2/01/2022,Bay of Plenty
1020,Black,Yamaha,YZF,2017,Roadbike,18/01/2022,Auckland City
1021,Orange,Triumph,ROCKET III,2005,Roadbike,13/10/2021,Waikato
1022,Black,Suzuki,GSX250,2018,Roadbike,24/11/2021,Waikato
1023,Green,Kawasaki,ZX,2011,Roadbike,22/02/2022,Auckland City
1024,Red,TNT Motor,ROMA,2018,Moped,17/02/2022,Bay of Plenty
1025,Black,TNT Motor,ROMA,2018,Moped,11/10/2021,Eastern
1026,Red,Benelli,BN251,2018,Roadbike,14/01/2022,Auckland City
1027,Black,Suzuki,GN250,2004,Roadbike,10/11/2021,Auckland City
1028,Red,Honda,HORNET,1996,Roadbike,8/02/2022,Counties/Manukau
1029,Red,Kymco,AGILITY,2019,Moped,12/01/2022,Bay of Plenty
1030,Silver,Honda,GIORNO CREA,2007,Moped,15/11/2021,Auckland City
1031,White,Aprilia,SR MOTARD,2016,Moped,1/04/2022,Wellington
1032,Black,Harley Davidson,00 SOFTAIL,2000,Roadbike,31/10/2021,Auckland City
1033,Blue,Suzuki,GSX150,2019,Roadbike,12/12/2021,Wellington
1034,Black,Forza,CICLONE,2019,Moped,9/11/2021,Canterbury
1035,Black,Honda,CB1000,2019,Roadbike,17/03/2022,Counties/Manukau
1036,Black,Suzuki,GSX150,2019,Roadbike,29/03/2022,Northland
1037,Grey,Nissan,SAFARI,1992,Stationwagon,19/10/2021,Canterbury
1038,Brown,Toyota,HILUX,2002,Utility,8/10/2021,Bay of Plenty
1039,White,Toyota,HIACE,1998,Light Van,7/12/2021,Canterbury
1040,Silver,Ford,COURIER,2000,Utility,9/01/2022,Bay of Plenty
1041,Silver,Mitsubishi,PAJERO,1999,Stationwagon,10/02/2022,Waitemata
1042,Silver,Nissan,PULSAR,1995,Hatchback,3/12/2021,Waikato
1043,Silver,Nissan,PULSAR,1996,Saloon,5/02/2022,Waikato
1044,Grey,Mitsubishi,LEGNUM,1997,Stationwagon,11/11/2021,Waitemata
1045,Blue,Ford,FALCON,2003,Saloon,15/03/2022,Bay of Plenty
1046,Silver,Nissan,TERRANO,1998,Stationwagon,5/03/2022,Tasman
1047,Silver,Honda,ACCORD,2003,Saloon,6/02/2022,Auckland City
1048,Silver,Nissan,NAVARA,2003,Utility,13/11/2021,Eastern
1049,Silver,Ford,COURIER,2003,Utility,11/12/2021,Canterbury
1050,Silver,Mazda,FAMILIA,1994,Saloon,30/03/2022,Counties/Manukau
1051,Silver,Nissan,PULSAR,1996,Hatchback,10/01/2022,Central
1052,White,Isuzu,RODEO,1991,Utility,9/03/2022,Central
1053,Green,Toyota,COROLLA,1995,Stationwagon,24/12/2021,Waitemata
1054,Silver,Subaru,IMPREZA,1995,Hatchback,18/10/2021,Central
1055,White,Nissan,CARAVAN,1989,Light Bus,17/03/2022,Canterbury
1056,Green,Toyota,RAV4,1994,Stationwagon,19/02/2022,Eastern
1057,Red,Toyota,HILUX,1994,Stationwagon,4/11/2021,Canterbury
1058,Blue,Toyota,TRUENO,1996,Saloon,19/01/2022,Southern
1059,Silver,Mercedes-Benz,E280,1999,Saloon,21/02/2022,Waikato
1060,Green,Mitsubishi,TRITON,2003,Utility,29/01/2022,Northland
1061,White,Mazda,DEMIO,1997,Stationwagon,5/04/2022,Auckland City
1062,White,Ford,COURIER,2003,Utility,27/03/2022,Canterbury
1063,White,Hyundai,H100,2003,Light Van,13/12/2021,Canterbury
1064,Green,Isuzu,BIGHORN,1997,Stationwagon,5/11/2021,Canterbury
1065,Green,Toyota,HILUX,1993,Stationwagon,11/11/2021,Canterbury
1066,Gold,Toyota,HILUX,2003,Utility,14/01/2022,Bay of Plenty
1067,Blue,Nissan,TERRANO,1996,Stationwagon,13/10/2021,Bay of Plenty
1068,Silver,Mitsubishi,PAJERO,2003,Stationwagon,8/11/2021,Bay of Plenty
1069,White,Honda,PRELUDE,1997,Saloon,4/03/2022,Counties/Manukau
1070,White,Mitsubishi,GALANT,1997,Saloon,15/10/2021,Wellington
1071,Silver,Volkswagen,GOLF,1998,Hatchback,13/03/2022,Wellington
1072,Silver,Toyota,CERES,1998,Saloon,3/04/2022,Auckland City
1073,Green,Nissan,MAXIMA,2003,Saloon,4/04/2022,Central
1074,Red,Mitsubishi,GALANT,2003,Saloon,14/12/2021,Waikato
1075,White,BMW,325CI,2007,Saloon,6/03/2022,Waitemata
1076,Blue,Honda,ODYSSEY,1996,Stationwagon,22/02/2022,Central
1077,Gold,Suzuki,ALTO,2003,Hatchback,23/02/2022,Canterbury
1078,White,Ford,COURIER,2003,Utility,13/12/2021,Auckland City
1079,White,Subaru,IMPREZA,2001,Stationwagon,13/10/2021,Counties/Manukau
1080,Blue,Toyota,CORONA,1996,Saloon,6/03/2022,Northland
1081,White,Ford,COURIER,1997,Utility,24/10/2021,Central
1082,White,Nissan,TERRANO,1999,Stationwagon,15/01/2022,Northland
1083,Black,Nissan,SAFARI,1992,Stationwagon,23/11/2021,Auckland City
1084,Blue,Mazda,B2500,1998,Utility,5/04/2022,Eastern
1085,Blue,Nissan,NAVARA,2003,Utility,11/02/2022,Central
1086,Blue,Toyota,HILUX,1994,Stationwagon,26/12/2021,Auckland City
1087,Red,Toyota,HILUX,1993,Stationwagon,24/10/2021,Waitemata
1088,Silver,Subaru,IMPREZA,2003,Stationwagon,7/03/2022,Auckland City
1089,White,Toyota,CAVALIER,2000,Saloon,26/11/2021,Central
1090,Blue,Toyota,HILUX,1995,Stationwagon,6/12/2021,Canterbury
1091,Blue,Nissan,SUNNY,1996,Saloon,18/01/2022,Canterbury
1092,White,Ford,COURIER,2003,Utility,10/01/2022,Central
1093,Silver,Mazda,BOUNTY,2003,Utility,26/02/2022,Canterbury
1094,Red,Nissan,WINGROAD,1999,Stationwagon,10/10/2021,Eastern
1095,White,Toyota,CURREN,1996,Saloon,28/11/2021,Auckland City
1096,White,Nissan,BLUEBIRD,1997,Saloon,12/12/2021,Eastern
1097,Silver,Peugeot,406,2003,Saloon,28/02/2022,Eastern
1098,Red,Toyota,HILUX,2003,Utility,4/04/2022,Bay of Plenty
1099,White,Toyota,DYNA,1997,Other Truck,25/11/2021,Auckland City
1100,Red,Mitsubishi,DIAMANTE,2003,Saloon,11/10/2021,Counties/Manukau
1101,White,Ford,COURIER,2003,Utility,31/10/2021,Eastern
1102,White,Subaru,LEGACY,1996,Saloon,12/02/2022,Bay of Plenty
1103,Gold,Ford,COURIER,2003,Utility,23/03/2022,Bay of Plenty
1104,Green,Toyota,CHASER,1994,Saloon,29/03/2022,Bay of Plenty
1105,Grey,Honda,LOGO,1997,Hatchback,24/01/2022,Canterbury
1106,Green,Holden,COMMODORE,2003,Saloon,8/10/2021,Northland
1107,Black,Nissan,SAFARI,1993,Stationwagon,17/10/2021,Counties/Manukau
1108,Green,Toyota,HILUX,1996,Stationwagon,10/02/2022,Bay of Plenty
1109,Red,Toyota,HILUX,1993,Stationwagon,20/11/2021,Canterbury
1110,Silver,Toyota,CALDINA,1996,Stationwagon,9/12/2021,Central
1111,White,Mitsubishi,DIAMANTE,2003,Saloon,24/11/2021,Central
1112,Red,Honda,ODYSSEY,1996,Stationwagon,26/10/2021,Bay of Plenty
1113,Blue,Toyota,HILUX,2003,Utility,8/11/2021,Bay of Plenty
1114,Grey,Honda,ACCORD,2003,Saloon,27/03/2022,Auckland City
1115,Silver,Ford,COURIER,2003,Utility,15/03/2022,Waitemata
1116,Blue,Ford,EXPLORER,2003,Stationwagon,21/10/2021,Wellington
1117,Blue,Nissan,PULSAR,1996,Stationwagon,11/11/2021,Eastern
1118,Green,Toyota,HIACE,2003,Light Van,6/01/2022,Waitemata
1119,White,Holden,COMMODORE,2003,Stationwagon,31/03/2022,Counties/Manukau
1120,Blue,Mazda,FAMILIA,1996,Saloon,11/03/2022,Waikato
1121,Silver,Ford,FALCON,2003,Saloon,12/01/2022,Northland
1122,Silver,Subaru,LEGACY,2000,Stationwagon,17/11/2021,Bay of Plenty
1123,Silver,Ford,COURIER,2003,Utility,29/03/2022,Central
1124,Silver,Nissan,PULSAR,1995,Saloon,30/10/2021,Waikato
1125,Silver,Mitsubishi,LANCER,2003,Saloon,20/03/2022,Central
1126,White,Nissan,CARAVAN,1997,Light Van,27/03/2022,Waikato
1127,Silver,Chrysler,PT CRUISER,2002,Saloon,27/10/2021,Tasman
1128,Red,Mazda,MPV,1996,Stationwagon,17/10/2021,Waikato
1129,Red,Holden,VX COMMODORE,2001,Saloon,16/01/2022,Central
1130,White,Nissan,CONDOR,1996,Other Truck,15/11/2021,Auckland City
1131,Blue,Mitsubishi,RVR,1996,Stationwagon,7/01/2022,Eastern
1132,Blue,Nissan,TERRANO,1992,Stationwagon,4/03/2022,Eastern
1133,Blue,Honda,ODYSSEY,1996,Stationwagon,11/11/2021,Bay of Plenty
1134,Black,Volkswagen,GOLF,2003,Hatchback,30/03/2022,Counties/Manukau
1135,Grey,Mitsubishi,LANCER,2000,Saloon,24/03/2022,Wellington
1136,Silver,Mazda,FAMILIA,1999,Hatchback,10/03/2022,Wellington
1137,Red,Ford,FALCON,2003,Saloon,2/12/2021,Central
1138,White,Isuzu,BIGHORN,1998,Stationwagon,23/02/2022,Tasman
1139,White,Toyota,HIACE,1995,Light Van,31/01/2022,Waitemata
1140,Silver,Nissan,PRIMERA,1998,Stationwagon,4/04/2022,Auckland City
1141,Green,Daihatsu,CHARADE,2003,Hatchback,21/03/2022,Central
1142,White,BMW,323I,2005,Saloon,22/02/2022,Counties/Manukau
1143,Grey,Toyota,ESTIMA,1994,Light Van,17/03/2022,Bay of Plenty
1144,Black,Subaru,LEGACY,1997,Stationwagon,11/02/2022,Bay of Plenty
1145,Red,Subaru,IMPREZA,1996,Stationwagon,25/02/2022,Tasman
1146,Blue,Mazda,MAZDA6,2003,Saloon,1/04/2022,Counties/Manukau
1147,Black,Honda,JAZZ,2003,Hatchback,17/10/2021,Northland
1148,Black,Honda,JAZZ,2003,Hatchback,21/10/2021,Northland
1149,White,Mitsubishi,LANCER,2003,Saloon,9/01/2022,Counties/Manukau
1150,White,Nissan,CEDRIC,1999,Saloon,29/01/2022,Canterbury
1151,White,Ford,COURIER,2003,Utility,23/11/2021,Canterbury
1152,White,Mazda,E2000,2003,Light Van,29/03/2022,Tasman
1153,Red,Toyota,HIGHLANDER,2003,Stationwagon,29/11/2021,Counties/Manukau
1154,Green,Toyota,HILUX,2003,Utility,15/12/2021,Bay of Plenty
1155,Green,Holden,COMMODORE,2003,Saloon,21/10/2021,Waitemata
1156,Silver,Holden,ASTRA,2003,Hatchback,24/10/2021,Bay of Plenty
1157,Yellow,Peugeot,307,2003,Hatchback,30/01/2022,Central
1158,Red,Ford,MONDEO,2003,Stationwagon,11/10/2021,Waikato
1159,White,Isuzu,BIGHORN,1990,Stationwagon,13/01/2022,Tasman
1160,Silver,Subaru,IMPREZA,1998,Stationwagon,11/02/2022,Counties/Manukau
1161,Black,Nissan,TERRANO,1997,Stationwagon,26/11/2021,Waitemata
1162,Black,Honda,ACCORD,2003,Saloon,26/02/2022,Bay of Plenty
1163,Silver,Toyota,TOWNACE,1993,Light Van,1/12/2021,Waikato
1164,Silver,BMW,318I,2003,Stationwagon,21/01/2022,Canterbury
1165,White,Toyota,DYNA,1995,Other Truck,8/10/2021,Bay of Plenty
1166,Green,Isuzu,BIGHORN,1992,Stationwagon,27/11/2021,Bay of Plenty
1167,Silver,Toyota,HIACE,2003,Light Van,24/02/2022,Auckland City
1168,Blue,Nissan,PULSAR,2003,Hatchback,15/10/2021,Wellington
1169,Silver,Toyota,HILUX,2003,Utility,21/12/2021,Waitemata
1170,Silver,Mazda,DEMIO,1998,Hatchback,22/03/2022,Auckland City
1171,Silver,Mitsubishi,COLT,2003,Hatchback,12/02/2022,Auckland City
1172,Blue,Toyota,HILUX,1996,Stationwagon,19/03/2022,Canterbury
1173,Blue,Honda,JAZZ,2003,Hatchback,27/02/2022,Auckland City
1174,Blue,Toyota,COROLLA,2003,Saloon,27/11/2021,Canterbury
1175,White,Mitsubishi,LANCER,2000,Saloon,7/03/2022,Central
1176,Black,Volkswagen,GOLF,2003,Hatchback,20/03/2022,Bay of Plenty
1177,White,Toyota,TOYOACE,1997,Other Truck,30/01/2022,Bay of Plenty
1178,Red,Ford,COURIER,2003,Utility,22/12/2021,Canterbury
1179,Silver,Mazda,BOUNTY,2003,Utility,13/02/2022,Waitemata
1180,Blue,Toyota,RAV4,1994,Stationwagon,21/01/2022,Counties/Manukau
1181,Blue,Honda,ODYSSEY,1995,Stationwagon,30/01/2022,Canterbury
1182,Gold,Nissan,TERRANO,1997,Stationwagon,25/02/2022,Southern
1183,White,Nissan,SUNNY,1996,Saloon,20/10/2021,Auckland City
1184,Red,Audi,S4,2004,Stationwagon,7/02/2022,Wellington
1185,Green,Toyota,CALDINA,1996,Stationwagon,19/01/2022,Central
1186,Red,Holden,COMMODORE,2004,Saloon,28/01/2022,Wellington
1187,Gold,Toyota,HILUX,1995,Stationwagon,2/03/2022,Canterbury
1188,Grey,Nissan,SAFARI,1993,Stationwagon,10/02/2022,Waitemata
1189,Blue,Holden,ASTRA,2004,Stationwagon,27/02/2022,Canterbury
1190,White,Kia,PREGIO,2004,Light Van,17/02/2022,Auckland City
1191,Red,Ford,MONDEO,2004,Stationwagon,10/10/2021,Counties/Manukau
1192,Black,Holden,UTE,2004,Utility,13/03/2022,Northland
1193,Silver,Toyota,LANDCRUISER,1993,Stationwagon,1/11/2021,Canterbury
1194,Silver,Mazda,BOUNTY,2004,Utility,20/03/2022,Southern
1195,Silver,Toyota,AVENSIS,2003,Stationwagon,2/02/2022,Counties/Manukau
1196,Silver,Toyota,CARINA,1996,Saloon,25/11/2021,Bay of Plenty
1197,Silver,Mitsubishi,LANCER,2003,Saloon,28/03/2022,Auckland City
1198,White,Toyota,HIACE,2000,Light Van,20/11/2021,Counties/Manukau
1199,White,Mitsubishi,FUSO,1983,Mobile Home - Light,3/01/2022,Counties/Manukau
1200,Blue,Ford,COURIER,1999,Utility,6/04/2022,Bay of Plenty
1201,White,Ford,COURIER,2004,Utility,4/12/2021,Wellington
1202,Red,Subaru,IMPREZA,1996,Stationwagon,17/02/2022,Northland
1203,White,Ford,ECONOVAN,2004,Light Van,5/01/2022,Wellington
1204,Silver,Ford,FALCON,2004,Saloon,24/03/2022,Counties/Manukau
1205,Silver,Mitsubishi,FTO,1996,Sports Car,14/03/2022,Waitemata
1206,White,Ford,COURIER,2004,Utility,22/02/2022,Counties/Manukau
1207,Green,Mazda,BOUNTY,2004,Utility,1/04/2022,Canterbury
1208,Green,Nissan,TERRANO,1997,Stationwagon,24/03/2022,Bay of Plenty
1209,Silver,Ford,MONDEO,2004,Saloon,21/02/2022,Northland
1210,White,Nissan,BLUEBIRD,1998,Saloon,30/12/2021,Counties/Manukau
1212,White,Mazda,BOUNTY,2004,Utility,8/11/2021,Wellington
1213,Black,Toyota,CALDINA,1996,Stationwagon,13/03/2022,Auckland City
1214,Green,Nissan,PULSAR,1996,Saloon,4/11/2021,Eastern
1215,Purple,Nissan,CEFIRO,1995,Saloon,18/10/2021,Central
1216,Blue,Ford,COURIER,2004,Utility,31/01/2022,Wellington
1217,White,Mazda,BOUNTY,2004,Utility,1/02/2022,Waikato
1218,Red,Mazda,AUTOZAM,1992,Hatchback,8/11/2021,Canterbury
1219,Blue,Isuzu,MU,1994,Stationwagon,15/11/2021,Canterbury
1220,White,Isuzu,WIZARD,2000,Stationwagon,4/03/2022,Waitemata
1221,White,Toyota,CORONA,2001,Saloon,8/10/2021,Counties/Manukau
1222,Black,TNT Motor,ROMA,2020,Moped,23/03/2022,Wellington
1223,Red,Triumph,DAYTONA,2008,Roadbike,25/10/2021,Wellington
1224,Green,Suzuki,KING QUAD 4X4,1998,All Terrain Vehicle,16/11/2021,Canterbury
1225,White,KTM,200,2020,Roadbike,27/01/2022,Auckland City
1226,Brown,Vespa,GTS,2021,Roadbike,4/11/2021,Auckland City
1227,Black,ADLY,ROAD TRACER 50,2020,Moped,26/11/2021,Auckland City
1228,Black,Hyosung,GT250,2008,Roadbike,10/03/2022,Wellington
1229,Orange,KTM,200,2018,Roadbike,20/12/2021,Wellington
1230,White,Honda,NSC,2013,Roadbike,5/11/2021,Auckland City
1231,Black,Harley Davidson,FXSB,2014,Roadbike,10/03/2022,Auckland City
1232,Black,TNT Motor,ROMA,2021,Moped,30/01/2022,Auckland City
1233,Black,Forza,CICLONE,2021,Moped,8/03/2022,Auckland City
1234,Red,TNT Motor,ROMA,2021,Moped,2/01/2022,Auckland City
1235,Red,Honda,NVS,2013,Moped,28/01/2022,Canterbury
1236,Silver,Suzuki,GSX150,2022,Roadbike,14/02/2022,Auckland City
1237,Red,Factory Built,VIVA CITYMASTER,2022,Moped,18/03/2022,Canterbury
1238,Black,Piaggio,ZIP,2017,Moped,21/01/2022,Auckland City
1239,Black,Kawasaki,EX,2020,Roadbike,10/03/2022,Auckland City
1240,Black,Suzuki,GSX250FRLL9,2020,Roadbike,2/04/2022,Auckland City
1241,White,Moden,MDAV01,2020,Moped,13/03/2022,Waikato
1242,Brown,Vespa,PRIMAVERA,2019,Roadbike,17/02/2022,Auckland City
1243,Black,Lambretta,V50,2020,Moped,28/01/2022,Wellington
1244,White,KTM,200,2021,Roadbike,2/01/2022,Wellington
1245,Black,Yamaha,YZF-R3A,2021,Roadbike,29/01/2022,Counties/Manukau
1246,White,KTM,200,2021,Roadbike,13/01/2022,Auckland City
1247,Blue,Factory Built,VIVA,2021,Moped,24/12/2021,Auckland City
1248,Grey,Honda,CBR,2021,Roadbike,21/03/2022,Central
1249,Black,Suzuki,GSX250FRLL9,2021,Roadbike,30/03/2022,Counties/Manukau
1250,Green,Trailer,HOMEBUILT,2004,Trailer,14/01/2022,Wellington
1251,White,Vespa,PRIMAVERA,2018,Moped,21/02/2022,Northland
1252,Red,Yamaha,YS125A,2021,Roadbike,14/03/2022,Wellington
1253,Black,ADLY,GTA-50,2020,Moped,14/02/2022,Auckland City
1254,Black,Vespa,PRIMAVERA,2019,Moped,18/01/2022,Auckland City
1255,Cream,Yamaha,XT250L,2020,Roadbike,20/02/2022,Northland
1256,Red,SYM,JET4,2021,Moped,8/01/2022,Canterbury
1257,Black,Suzuki,GSX250FRLL9,2021,Roadbike,14/12/2021,Wellington
1258,Black,Forza,CICLONE,2021,Moped,23/03/2022,Canterbury
1259,White,Factory Built,LINTEX,2017,Moped,11/03/2022,Canterbury
1260,White,Factory Built,YIBEN,2021,Moped,19/03/2022,Auckland City
1261,Blue,Yamaha,WR,2012,Roadbike,3/04/2022,Central
1262,Red,Harley Davidson,SPORTSTER,2013,Roadbike,8/03/2022,Auckland City
1263,Black,TNT Motor,OTTO,2020,Moped,25/03/2022,Auckland City
1264,Black,Forza,CICLONE,2020,Moped,15/10/2021,Auckland City
1265,Black,TNT Motor,OTTO,2020,Moped,13/03/2022,Canterbury
1266,White,KTM,200,2020,Roadbike,15/01/2022,Auckland City
1267,Blue,Yamaha,MT03LA,2020,Roadbike,5/03/2022,Auckland City
1268,Blue,TNT Motor,ROMA,2020,Moped,27/01/2022,Southern
1269,Black,Kawasaki,ZX-4,1988,Roadbike,2/04/2022,Waikato
1270,Brown,Suzuki,UZ50,2020,Moped,6/11/2021,Auckland City
1271,Orange,KTM,EXC,2008,Roadbike,10/02/2022,Canterbury
1272,Yellow,Moped,YB50QT-3,2021,Moped,14/12/2021,Waitemata
1273,Red,Factory Built,VIVA,2021,Moped,27/01/2022,Canterbury
1274,White,Honda,ZOOMER,2007,Moped,16/11/2021,Auckland City
1275,Black,Moped,ZNEN,2016,Moped,10/03/2022,Auckland City
1276,Red,Triumph,SPEED TRIPLE,2011,Roadbike,5/03/2022,Canterbury
1277,Red,Triumph,SPEED TRIPLE,2011,Roadbike,5/03/2022,Canterbury
1278,Black,Suzuki,GSX250FRLL9,2021,Roadbike,23/02/2022,Auckland City
1279,Blue,TNT Motor,ROMA,2021,Moped,3/04/2022,Canterbury
1280,Grey,Yamaha,MT03LA,2021,Roadbike,6/03/2022,Central
1281,White,Moped,YIBEN,2020,Moped,12/11/2021,Auckland City
1282,Grey,Yamaha,MTM850A,2020,Roadbike,8/03/2022,Auckland City
1283,White,Keeway,CAFE RACER,2020,Roadbike,15/11/2021,Wellington
1284,Black,Honda,PAL,2020,Moped,10/11/2021,Auckland City
1285,Blue,Honda,CB,2002,Roadbike,20/02/2022,Bay of Plenty
1286,White,Suzuki,UK,2021,Roadbike,23/11/2021,Wellington
1287,White,BMW,G310,2021,Roadbike,29/12/2021,Waitemata
1288,Grey,Yamaha,YZF-R15,2021,Roadbike,20/12/2021,Waikato
1289,White,Ubco,2X2ADV,2021,Moped,26/03/2022,Wellington
1290,Black,TNT Motor,ROMA,2021,Moped,15/11/2021,Wellington
1291,Orange,Suzuki,LS650,2018,Roadbike,11/03/2022,Waikato
1292,Black,Suzuki,GSX150DF,2022,Roadbike,22/03/2022,Auckland City
1293,Red,Yamaha,XV250G,2016,Roadbike,21/02/2022,Auckland City
1294,Silver,Briford,TRAILER 8 X 4,2004,Trailer,7/03/2022,Counties/Manukau
1295,Black,TNT Motor,MOTORCYCLE,2019,Moped,27/02/2022,Wellington
1296,Blue,Yamaha,YZF-R3A,2020,Roadbike,2/02/2022,Waitemata
1297,Black,Royal Enfield,CONTINENTAL,2020,Roadbike,26/02/2022,Waitemata
1298,White,Over,B-UNO,2020,Moped,4/12/2021,Central
1299,Black,Harley Davidson,STREET,2020,Roadbike,19/11/2021,Wellington
1300,White,Suzuki,DR350,1998,Roadbike,12/10/2021,Bay of Plenty
1301,Orange,Hitachi,ZX17U-5A,2021,Tractor,17/11/2021,Northland
1302,Orange,KTM,790,2021,Roadbike,22/02/2022,Auckland City
1303,Red,Ducati,MONSTER,2005,Roadbike,15/12/2021,Northland
1304,Black,SYM,CROX,2021,Moped,15/11/2021,Canterbury
1305,Green,Benelli,TNT,2021,Roadbike,8/12/2021,Waikato
1306,Red,TNT Motor,ROMA,2021,Moped,2/01/2022,Canterbury
1307,Red,Benelli,502C,2021,Roadbike,17/03/2022,Counties/Manukau
1308,White,Kawasaki,EN,2019,Roadbike,7/02/2022,Waitemata
1309,Black,TNT Motor,OTTO,2020,Moped,9/01/2022,Auckland City
1310,Black,TNT Motor,ROMA,2020,Moped,20/10/2021,Wellington
1311,Black,Aprilia,TUONO,2003,Roadbike,16/03/2022,Wellington
1312,Blue,Yamaha,MT03LA,2020,Roadbike,2/03/2022,Counties/Manukau
1313,Black,KTM,990,2006,Roadbike,18/01/2022,Wellington
1314,White,Suzuki,UZ50,2020,Moped,9/11/2021,Bay of Plenty
1315,White,KTM,500,2021,Roadbike,23/02/2022,Waitemata
1316,Black,Factory Built,VIVA,2021,Moped,20/11/2021,Tasman
1317,Black,Forza,CAPRI,2021,Moped,12/10/2021,Auckland City
1318,Red,Aprilia,STX,2021,Roadbike,11/02/2022,Wellington
1319,Black,Yamaha,YZF-R3A,2021,Roadbike,20/02/2022,Central
1320,Black,TNT Motor,ROMA,2021,Moped,14/02/2022,Wellington
1321,Orange,PGO,LIGERO,2021,Moped,22/02/2022,Wellington
1322,Blue,Royal Enfield,METEOR,2021,Roadbike,4/03/2022,Auckland City
1323,Red,Suzuki,GSX150DF,2022,Roadbike,3/02/2022,Counties/Manukau
1324,Red,TNT Motor,ROMA,2022,Moped,29/03/2022,Canterbury
1325,Red,Aprilia,RX,2020,Roadbike,25/01/2022,Waikato
1326,Blue,Yamaha,MT03LA,2020,Roadbike,1/04/2022,Counties/Manukau
1327,Grey,Yamaha,XP560E,2020,Roadbike,1/12/2021,Waitemata
1328,White,Suzuki,UZ50,2020,Moped,20/12/2021,Auckland City
1329,Black,Yamaha,MT03LA,2020,Roadbike,8/03/2022,Auckland City
1330,Black,TNT Motor,ROMA,2021,Moped,1/02/2022,Wellington
1331,Red,Honda,XR,2021,Roadbike,16/01/2022,Auckland City
1332,Black,Vmoto,MOPED,2008,Moped,12/01/2022,Waitemata
1333,Orange,KTM,350,2021,Roadbike,28/01/2022,Auckland City
1334,Black,Factory Built,ZNEN,2021,Roadbike,18/12/2021,Waitemata
1335,Orange,KTM,1290,2021,Roadbike,30/03/2022,Counties/Manukau
1336,White,PGO,LIGERO,2021,Moped,28/01/2022,Wellington
1337,White,KTM,390,2021,Roadbike,4/12/2021,Wellington
1338,Black,Kawasaki,EX,2021,Roadbike,11/02/2022,Auckland City
